,instant,season,is_yr_one,mnth,hr,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt,Categorical_target
2483,2484,2,False,4,9,False,1,True,2,0.5,0.55,0.1045,37,132,169,Medium-High demand
8248,8249,4,False,12,8,False,4,True,2,0.34,0.66,0.2239,8,449,457,Medium-Low demand
17170,17171,1,True,12,5,False,0,False,1,0.2,0.51,0.0,0,6,6,Low demand
4799,4800,3,False,7,21,False,6,False,1,0.82,0.59,0.2239,39,115,154,Medium-High demand
9303,9304,1,True,1,13,False,6,False,1,0.34,0.57,0.2537,80,293,373,High demand
11721,11722,2,True,5,14,False,2,True,3,0.62,0.69,0.3284,8,63,71,Medium-Low demand
5010,5011,3,False,8,16,False,1,True,1,0.9,0.27,0.0,34,197,231,Medium-High demand
7276,7277,4,False,11,19,False,5,True,1,0.4,0.37,0.3582,14,182,196,Medium-Low demand
9958,9959,1,True,2,23,False,5,True,1,0.38,0.37,0.6866,10,76,86,Medium-Low demand
11123,11124,2,True,4,16,False,5,True,1,0.56,0.26,0.2537,113,350,463,High demand
1653,1654,1,False,3,11,False,1,True,1,0.36,0.4,0.2537,26,45,71,Medium-High demand
2163,2164,2,False,4,0,False,2,True,1,0.62,0.5,0.1045,10,12,22,Medium-Low demand
1345,1346,1,False,3,8,False,2,True,1,0.2,0.59,0.3881,10,204,214,Medium-Low demand
10180,10181,1,True,3,6,False,1,True,1,0.18,0.59,0.1343,2,89,91,Low demand
